Image_Type,Timeframe,Prediction,Accuracy,Precision,Recall,F1_Score,Hit_Rate,Long_Average_RoR,Long_Investment,Long_Return,Short_Average_RoR,Short_Investment,Short_Return,Total_Investment,Total_Return
CPA,90,90,0.5931972789115646,1.0,0.1897018970189702,0.31890660592255127,0.5931972789115646,0.18012192052762152,7000,1260.8534436933505,-0.003905802061459279,66500,-259.735837087042,73500,1001.1176066063085
CPA,180,5,0.556989247311828,0.556989247311828,1.0,0.7154696132596685,0.556989247311828,0.006254397978822307,46500,290.82950601523726,0.0,0,0.0,46500,290.82950601523726
CPA,180,30,0.556989247311828,0.5925925925925926,0.8540925266903915,0.6997084548104957,0.556989247311828,0.025439227982085418,40500,1030.2887332744597,-0.0007112679253573637,6000,-4.267607552144184,46500,1026.0211257223154
CPA,180,90,0.8064516129032258,0.9090909090909091,0.8108108108108109,0.8571428571428571,0.8064516129032258,0.11027846229824709,29700,3275.2703302579384,0.02463792823892859,16800,413.9171944140003,46500,3689.1875246719387
MLC,7,5,0.7900101936799184,0.8231292517006803,0.7393075356415478,0.778969957081545,0.7900101936799184,0.01838734084307697,44100,810.8817311796945,0.00876592689493113,54000,473.36005232628094,98100,1284.2417835059755
MLC,14,5,0.7072916666666667,0.7223427331887202,0.6851851851851852,0.7032734952481522,0.7072916666666667,0.015983545665483125,46100,736.8414551787719,0.007848700940478563,49900,391.65017692988033,96000,1128.491632108652
MLC,30,5,0.6030701754385965,0.5643994211287988,0.8647450110864745,0.6830122591943958,0.6030701754385965,0.007309829229088472,69100,505.10919973001336,0.012365796712982295,22100,273.28410735690875,91200,778.393307086922
MLC,30,30,0.8004385964912281,0.7475083056478405,0.9375,0.831792975970425,0.8004385964912281,0.03944873810828428,60200,2374.814034118714,0.04574958876375362,31000,1418.2372516763621,91200,3793.051285795076
MLC,90,5,0.5409836065573771,0.5409836065573771,1.0,0.7021276595744682,0.5409836065573771,0.004686807702831876,73200,343.0743238472934,0.0,0,0.0,73200,343.0743238472934
MLC,90,30,0.7336065573770492,0.7568922305764411,0.755,0.7559449311639549,0.7336065573770492,0.04055512264507896,39900,1618.1493935386507,0.022229980544708604,33300,740.2583521387965,73200,2358.407745677447
MLC,90,90,0.7773224043715847,1.0,0.5546448087431693,0.7135325131810193,0.7773224043715847,0.13052086553871323,20300,2649.5735704358785,0.021397130948354024,52900,1131.9082271679276,73200,3781.481797603806
MLC,180,5,0.5541125541125541,0.5541125541125541,1.0,0.713091922005571,0.5541125541125541,0.006036164501060631,46200,278.87079994900114,0.0,0,0.0,46200,278.87079994900114
MLC,180,30,0.6017316017316018,0.6017316017316018,1.0,0.7513513513513513,0.6017316017316018,0.022137489924334154,46200,1022.7520345042382,0.0,0,0.0,46200,1022.7520345042382
MLC,180,90,0.2857142857142857,0.0,0.0,0.0,0.2857142857142857,0.0,0,0.0,-0.06157587457837787,46200,-2844.8054055210578,46200,-2844.8054055210578
API,7,5,0.8409785932721713,0.7975133214920072,0.9144602851323829,0.8519924098671727,0.8409785932721713,0.02018012911159199,56300,1136.141268982629,0.0191057318212731,41800,798.6195901292157,98100,1934.7608591118446
API,14,5,0.7479166666666667,0.7163120567375887,0.831275720164609,0.7695238095238096,0.7479166666666667,0.01677323782257766,56400,946.0106131933798,0.015172205427891116,39600,600.8193349444882,96000,1546.829948137868
API,30,5,0.5208333333333334,0.5078828828828829,1.0,0.6736370425690814,0.5208333333333334,0.0037355031094149197,88800,331.7126761160448,0.04161982655955844,2400,99.88758374294025,91200,431.60025985898505
API,30,30,0.805921052631579,0.7537688442211056,0.9375,0.8356545961002786,0.805921052631579,0.03904518807630031,59700,2330.9977281551287,0.04363241097500877,31500,1374.4209457127765,91200,3705.4186738679055
API,90,5,0.5765027322404371,0.6033653846153846,0.6338383838383839,0.6182266009852216,0.5765027322404371,0.010028197461090004,41600,417.1730143813441,0.0023448952700648967,31600,74.09869053405076,73200,491.2717049153949
API,90,30,0.7868852459016393,0.8588235294117647,0.73,0.7891891891891891,0.7868852459016393,0.0552556167967946,34000,1878.6909710910168,0.025530610451305162,39200,1000.7999296911623,73200,2879.490900782179
API,90,90,0.7144808743169399,0.852017937219731,0.5191256830601093,0.6451612903225806,0.7144808743169399,0.10931702617516514,22300,2437.769683706183,0.018076706098982945,50900,920.1043404382323,73200,3357.874024144415
API,180,5,0.5541125541125541,0.5541125541125541,1.0,0.713091922005571,0.5541125541125541,0.006036164501060631,46200,278.87079994900114,0.0,0,0.0,46200,278.87079994900114
API,180,30,0.6017316017316018,0.6017316017316018,1.0,0.7513513513513513,0.6017316017316018,0.022137489924334154,46200,1022.7520345042379,0.0,0,0.0,46200,1022.7520345042379
API,180,90,0.7316017316017316,0.905511811023622,0.696969696969697,0.7876712328767123,0.7316017316017316,0.10153666246681924,25400,2579.0312266572087,-0.01277760475306966,20800,-265.774178863849,46200,2313.2570477933596
